word,vector
making,"[4.9343705e-04 1.1805505e-02 9.8327786e-01 1.1880398e-03 8.3945620e-01
 2.7459860e-04 9.9951833e-01 9.3516243e-01 2.8634357e-01 1.0871947e-02
 9.9111748e-01 9.7269106e-01 2.8490424e-03 5.2396882e-01 7.8963041e-03
 8.7476301e-01 2.6834309e-03 1.4761055e-01 1.3422966e-04 9.5246029e-01
 9.9900508e-01 9.7887719e-01 9.9546552e-01 1.0603994e-02 9.7468793e-01]"
babies,"[2.32636929e-03 4.51627374e-03 9.89466071e-01 1.23584270e-03
 8.27217340e-01 2.68727541e-04 9.99210060e-01 9.03049827e-01
 1.65603489e-01 2.98941135e-03 9.87121344e-01 8.83106947e-01
 3.41609120e-03 7.50552893e-01 6.36070967e-04 8.88986409e-01
 1.01652741e-03 1.57817721e-01 1.21712685e-04 9.26995814e-01
 9.94290829e-01 9.97845352e-01 9.98395324e-01 2.64813304e-02
 9.85394120e-01]"
cooking,"[7.5432658e-04 3.7483007e-02 9.8044801e-01 1.1339188e-03 4.6972722e-01
 1.1592507e-03 9.9952567e-01 7.5425196e-01 2.2117025e-01 3.0044019e-03
 9.7187793e-01 8.4229815e-01 9.9175274e-03 8.1902874e-01 5.2708387e-04
 8.2219458e-01 4.8466325e-03 1.1487526e-01 2.2676587e-04 9.5984328e-01
 9.7816133e-01 9.7845387e-01 9.9658662e-01 4.3167770e-03 9.5443571e-01]"
dinner,"[4.4140220e-04 9.1843218e-02 9.7680235e-01 1.9696653e-03 3.5999694e-01
 6.6605210e-04 9.9920237e-01 7.0553219e-01 1.4682966e-01 1.3245046e-03
 9.6046591e-01 8.8104004e-01 2.8692394e-02 7.9203302e-01 4.1046739e-04
 7.3424488e-01 4.2984486e-03 2.4339733e-01 2.9888749e-04 9.0593725e-01
 9.8046398e-01 9.4902730e-01 9.9649143e-01 6.4899027e-03 9.3158102e-01]"
nothing,"[1.5767515e-03 6.1775595e-02 9.7603548e-01 4.3794215e-03 5.6746095e-01
 5.8367848e-04 9.9425477e-01 9.1235113e-01 2.8021604e-02 3.6272407e-03
 9.9596906e-01 9.3483287e-01 6.3909024e-02 5.7527906e-01 3.3998787e-03
 8.0349910e-01 4.9228966e-03 2.7674049e-01 1.6498566e-04 7.5678098e-01
 9.9427283e-01 9.8794961e-01 9.9945652e-01 5.4952234e-02 9.8643839e-01]"
else,"[7.5280666e-05 9.6621424e-02 9.5978773e-01 5.3480268e-04 2.3125687e-01
 7.0989132e-05 9.9779773e-01 9.1729689e-01 1.0053188e-02 1.1895001e-03
 9.8142958e-01 9.8166597e-01 2.9541939e-02 4.7003269e-01 2.0146370e-04
 8.6905074e-01 2.5159121e-04 4.0905753e-01 2.1249056e-05 6.2987620e-01
 9.9930334e-01 9.7484159e-01 9.9949497e-01 2.8861403e-02 9.5072901e-01]"
why,"[2.0614266e-04 2.0716548e-02 9.6945775e-01 4.4864416e-04 6.3402975e-01
 9.1153383e-04 9.9821031e-01 9.8136914e-01 1.3235450e-02 7.1756244e-03
 9.8689735e-01 9.6636367e-01 5.1132143e-03 4.1012466e-01 1.8023252e-03
 8.6679989e-01 1.2357652e-02 5.2040404e-01 3.0568242e-04 6.9739282e-01
 9.9855876e-01 9.9841779e-01 9.8922479e-01 1.8342257e-02 9.4740796e-01]"
have,"[2.0635128e-04 8.3275139e-03 9.9671018e-01 5.1206350e-04 8.3427399e-01
 9.1910362e-05 9.9727833e-01 9.3684685e-01 1.2752277e-01 4.1143894e-03
 9.9474108e-01 9.4337797e-01 3.5570264e-03 6.9360071e-01 1.4628470e-03
 9.6513730e-01 5.3504109e-04 1.5521255e-01 2.1076202e-04 8.8022935e-01
 9.9771386e-01 9.9922359e-01 9.9959606e-01 4.6616793e-02 9.8860300e-01]"
nt,"[1.4904141e-04 2.7550578e-02 9.7978640e-01 1.0243058e-03 5.7497799e-01
 1.5578270e-03 9.9317682e-01 8.7945062e-01 1.7126870e-01 1.7356634e-02
 9.8726845e-01 8.5961676e-01 2.5213063e-03 4.9381703e-01 1.6532868e-02
 9.7479546e-01 2.7953088e-03 3.2352704e-01 1.8364191e-04 8.6192298e-01
 9.6151012e-01 9.9555761e-01 9.9924088e-01 2.6859581e-02 9.9186647e-01]"
faggots,"[8.8959932e-05 1.5194505e-02 9.9561864e-01 1.1245996e-02 6.5005928e-01
 2.8222799e-05 9.9234056e-01 9.2048639e-01 5.3325504e-02 4.8759580e-03
 9.7241634e-01 9.3376493e-01 1.7768145e-02 3.4652025e-01 2.3385584e-03
 8.1401300e-01 2.3967028e-04 5.8881122e-01 1.7774105e-04 9.4100600e-01
 9.9884963e-01 9.9782479e-01 9.9958336e-01 2.5175273e-02 9.8508137e-01]"
taken,"[2.4735928e-04 5.2067935e-03 9.9147975e-01 2.8771162e-04 9.1439217e-01
 5.0216913e-05 9.9490458e-01 9.8051131e-01 8.5855246e-02 3.8342476e-03
 9.9599135e-01 9.9293375e-01 3.6515296e-03 4.9330953e-01 2.6392341e-03
 9.8526204e-01 1.6674995e-03 3.0048382e-01 3.4725666e-04 8.5994864e-01
 9.9486351e-01 9.9879706e-01 9.9925900e-01 2.3583114e-02 9.8901522e-01]"
the,"[4.19437885e-04 4.67339158e-03 9.82936144e-01 3.00675631e-04
 3.78989309e-01 2.43842602e-04 9.93955135e-01 9.07688856e-01
 1.16479695e-02 1.74537301e-03 9.77258205e-01 9.58693147e-01
 3.41361761e-03 2.87070692e-01 2.12785602e-03 9.02456522e-01
 6.49720430e-04 3.43690306e-01 3.18884850e-05 7.32799470e-01
 9.97589886e-01 9.98715460e-01 9.99416053e-01 2.11429000e-02
 9.92413223e-01]"
bipill,"[5.8934093e-04 7.0763528e-03 9.1962409e-01 3.1492114e-04 3.7315887e-01
 1.7967820e-04 9.9689651e-01 9.4632256e-01 2.5128961e-02 1.1244118e-03
 9.4379640e-01 9.7108650e-01 7.3078275e-04 2.7252898e-01 8.9332461e-04
 8.4782958e-01 3.6048889e-04 2.6855481e-01 8.0138445e-05 5.4825664e-01
 9.9967188e-01 9.9828470e-01 9.9839264e-01 5.1997334e-02 9.9097443e-01]"
yet,"[2.1603703e-04 1.3418287e-02 9.6656907e-01 1.0033250e-03 6.6328061e-01
 6.2882900e-05 9.9641538e-01 9.5283389e-01 2.1468133e-02 2.2740066e-03
 9.4667053e-01 9.5176184e-01 3.2654703e-03 2.8870916e-01 5.5338144e-03
 8.8957202e-01 9.6431375e-04 3.7756377e-01 3.0672550e-04 6.1389506e-01
 9.9912894e-01 9.9424291e-01 9.9934500e-01 2.8262317e-02 9.8651230e-01]"
don,"[1.0875463e-03 2.2198498e-02 9.9482322e-01 7.4209273e-03 7.8814471e-01
 2.2977591e-04 9.9257779e-01 8.4251690e-01 9.5147312e-02 2.7387440e-03
 9.9604976e-01 9.2886662e-01 2.5673240e-02 5.0019401e-01 4.4736266e-04
 8.1517756e-01 2.9016435e-03 3.0118993e-01 1.3232231e-04 8.3759999e-01
 9.5926255e-01 9.9535024e-01 9.9965620e-01 9.7056061e-02 9.7045088e-01]"
t,"[2.5773048e-04 1.1079162e-02 9.8809409e-01 3.3174455e-03 9.3768823e-01
 5.0783157e-05 9.9613094e-01 9.3625963e-01 5.2809358e-02 2.4653077e-03
 9.9605501e-01 9.6630108e-01 7.0925653e-03 6.6179389e-01 8.7812543e-04
 9.5112413e-01 3.5911798e-04 3.9546707e-01 9.4354153e-05 7.1141326e-01
 9.9659920e-01 9.9582970e-01 9.9977022e-01 8.7832570e-02 9.8891735e-01]"
beck,"[1.1676252e-03 5.0572187e-02 9.8843676e-01 4.9076080e-03 3.2828522e-01
 8.9913607e-05 9.9751496e-01 9.2131710e-01 1.0406527e-01 1.3994694e-02
 9.8224473e-01 9.7177202e-01 5.9260726e-03 5.7514578e-01 2.3988187e-03
 9.8165023e-01 4.2328238e-04 7.5235337e-02 3.0353665e-04 6.5042955e-01
 9.9954748e-01 9.9574995e-01 9.9977624e-01 1.6540977e-01 9.1009611e-01]"
your,"[1.3792217e-03 2.5378734e-02 9.9116904e-01 4.7048926e-04 5.3592831e-01
 4.6414137e-04 9.9912089e-01 9.8006952e-01 1.2617913e-01 9.0608895e-03
 9.9369669e-01 9.5599890e-01 5.3981841e-03 4.4586545e-01 2.6278198e-03
 9.6883100e-01 9.3197823e-04 2.4736002e-01 2.5358796e-04 6.1499256e-01
 9.9733132e-01 9.9755049e-01 9.9955666e-01 4.7111392e-02 9.8875040e-01]"
god,"[4.7719479e-04 3.1862706e-02 9.7745574e-01 8.5318089e-04 7.9925668e-01
 1.3899803e-04 9.8952854e-01 9.4863880e-01 2.2868782e-02 9.5265210e-03
 9.6943843e-01 9.5149964e-01 8.5511804e-04 3.6340407e-01 2.5780499e-03
 8.2278764e-01 1.5136600e-04 5.0196195e-01 9.8347664e-05 4.2458466e-01
 9.9910665e-01 9.9926519e-01 9.9943650e-01 1.0573813e-01 9.8560703e-01]"
